,setting,clusterCoef,lambda,mu,sigma,a,b,c
276,30000_10_0.6000000000000001,0.11025274299930533,0.14,1.32,0.97,0.6576340876433306,0.5725656201010972,0.4844771221998564
277,30000_10_0.7000000000000001,0.12923357185613235,0.13,2.01,1.34,0.5759335936337704,0.5961947960125653,0.44129205881850003
278,30000_10_0.8,0.1521691079510798,0.11,2.76,1.8,0.5258058891004528,0.6394817281964212,0.39675007973353354
279,30000_11_0.0,0.00499449367785682,0.08,-0.03,0.01,0.2551609860466333,0.13162115357012738,0.7113096761707133
280,30000_11_0.1,0.021228490353109315,0.1,-0.01,0.0,0.7132633005215383,0.19505548449681423,0.731336211996057
281,30000_11_0.2,0.038039654532227074,0.11,-0.02,0.01,0.9518422672544234,0.34553686963910607,0.6742044766449906
282,30000_11_0.30000000000000004,0.05553459795876578,0.1,-0.01,0.01,0.9257528631806646,0.4619826326531969,0.610826196662435
283,30000_11_0.4,0.07129663004823251,0.12,0.25,0.48,0.8341737242904805,0.5226194348771547,0.5613892045967539
284,30000_11_0.5,0.08648486655173453,0.12,0.73,0.7,0.7469986446658313,0.5682152122067878,0.5154913812368364
285,30000_11_0.6000000000000001,0.10162914102162408,0.12,1.35,0.98,0.6457808679779831,0.5788287855703037,0.47677046622270336
286,30000_11_0.7000000000000001,0.11802722704645335,0.11,1.98,1.31,0.5511400040148814,0.5772368997987243,0.4400844122810356
287,30000_11_0.8,0.1384538788535178,0.11,3.06,1.99,0.5078502248126017,0.6161072355164734,0.39874367894846774
288,30000_12_0.0,0.005293122132740761,0.06,-0.05,0.02,0.20005677163127458,0.13456705520302417,0.6930264478479556
289,30000_12_0.1,0.020577565741759462,0.08,-0.02,0.01,0.679656442405172,0.20593816988945618,0.7150873605486786
290,30000_12_0.2,0.03615771060169096,0.1,-0.02,0.01,0.9199215057056098,0.35708782772927744,0.6605919853138487
291,30000_12_0.30000000000000004,0.05205007608279122,0.1,-0.02,0.01,0.8883052374903029,0.46687773540711186,0.5992917402982363
292,30000_12_0.4,0.0670410284653074,0.1,0.23,0.47,0.8217096990100923,0.5418448425051294,0.5481507473005631
293,30000_12_0.5,0.0810262182862494,0.1,0.72,0.68,0.7269475948208262,0.5764014978521337,0.504713738917018
294,30000_12_0.6000000000000001,0.09530860100709336,0.09,1.06,0.83,0.6216557912327321,0.5809933451972555,0.4655789924976811
295,30000_12_0.7000000000000001,0.10897617143343882,0.1,2.03,1.35,0.5457482732525099,0.5776644966368595,0.43686001309769307
296,30000_12_0.8,0.1271052918376085,0.09,2.87,1.87,0.510005393788522,0.6177627495935825,0.39770297305944086
297,40000_2_0.0,0.001362313494091381,0.91,-0.0,0.0,-0.3982324460916371,0.012536725601149738,0.925143743817935
